timestamp,load_kw,temperature_c,humidity_pct,wind_speed_mps
2025-01-01 00:00:00,238.672,2.57,100.0,4.27
2025-01-01 01:00:00,237.171,-0.06,100.0,3.59
2025-01-01 02:00:00,230.702,2.51,100.0,3.45
2025-01-01 03:00:00,220.148,2.71,95.5,1.26
2025-01-01 04:00:00,241.22,-1.82,100.0,2.58
2025-01-01 05:00:00,242.229,-0.48,100.0,1.73
2025-01-01 06:00:00,235.219,2.29,100.0,5.02
2025-01-01 07:00:00,258.214,2.2,100.0,6.78
2025-01-01 08:00:00,282.948,3.4,95.6,0.91
2025-01-01 09:00:00,330.143,2.84,99.4,2.84
2025-01-01 10:00:00,344.481,6.39,91.8,1.68
2025-01-01 11:00:00,364.046,6.95,99.4,3.79
2025-01-01 12:00:00,379.451,6.43,93.2,11.03
2025-01-01 13:00:00,387.135,8.6,82.4,5.48
2025-01-01 14:00:00,384.917,7.85,82.3,4.04
2025-01-01 15:00:00,385.05,5.83,84.9,4.86
2025-01-01 16:00:00,368.478,7.69,96.3,7.33
2025-01-01 17:00:00,346.525,5.27,89.1,5.15
2025-01-01 18:00:00,303.636,7.73,94.4,1.07
2025-01-01 19:00:00,266.018,5.62,96.3,8.6
2025-01-01 20:00:00,234.191,4.68,96.5,3.05
2025-01-01 21:00:00,225.708,3.11,100.0,3.69
2025-01-01 22:00:00,214.185,5.38,96.8,6.38
2025-01-01 23:00:00,232.201,2.46,83.7,10.68
2025-01-02 00:00:00,236.856,1.37,99.5,2.0
2025-01-02 01:00:00,230.065,1.01,100.0,6.15
2025-01-02 02:00:00,229.963,2.13,100.0,1.91
2025-01-02 03:00:00,227.813,1.76,100.0,3.47
2025-01-02 04:00:00,230.041,1.94,92.5,0.77
2025-01-02 05:00:00,225.5,2.27,98.1,1.92
2025-01-02 06:00:00,214.858,5.48,86.3,3.35
2025-01-02 07:00:00,254.088,2.02,100.0,4.19
2025-01-02 08:00:00,291.363,2.58,100.0,4.03
2025-01-02 09:00:00,330.582,2.87,100.0,5.62
2025-01-02 10:00:00,345.29,5.94,96.1,2.15
2025-01-02 11:00:00,354.701,7.48,100.0,2.66
2025-01-02 12:00:00,381.439,6.11,100.0,2.75
2025-01-02 13:00:00,397.047,5.43,100.0,2.27
2025-01-02 14:00:00,397.675,5.75,98.1,1.38
2025-01-02 15:00:00,376.417,8.22,89.8,3.06
2025-01-02 16:00:00,353.739,8.26,96.4,5.01
2025-01-02 17:00:00,334.751,7.64,97.6,3.63
2025-01-02 18:00:00,306.767,5.23,94.9,2.06
2025-01-02 19:00:00,271.721,6.05,92.8,3.11
2025-01-02 20:00:00,248.282,5.14,100.0,1.96
2025-01-02 21:00:00,238.772,4.52,100.0,4.27
2025-01-02 22:00:00,228.882,4.79,92.2,5.12
2025-01-02 23:00:00,224.664,3.03,97.6,5.21
2025-01-03 00:00:00,221.133,3.11,100.0,2.45
2025-01-03 01:00:00,230.342,1.66,100.0,1.99
2025-01-03 02:00:00,238.868,1.71,97.9,5.62
2025-01-03 03:00:00,230.782,2.16,100.0,2.31
2025-01-03 04:00:00,238.834,-1.08,100.0,3.07
2025-01-03 05:00:00,237.603,1.04,100.0,3.61
2025-01-03 06:00:00,229.787,1.27,100.0,2.89
2025-01-03 07:00:00,251.863,1.63,98.4,4.7
2025-01-03 08:00:00,279.403,2.93,98.8,0.85
2025-01-03 09:00:00,308.867,6.54,86.7,4.0
2025-01-03 10:00:00,346.277,3.54,97.4,1.54
2025-01-03 11:00:00,366.66,7.2,84.4,2.12
2025-01-03 12:00:00,383.683,3.58,100.0,3.29
2025-01-03 13:00:00,384.322,6.21,97.2,0.66
2025-01-03 14:00:00,387.296,7.31,91.5,2.55
2025-01-03 15:00:00,371.753,8.09,91.5,2.23
2025-01-03 16:00:00,352.139,8.18,96.5,2.66
2025-01-03 17:00:00,334.161,8.02,85.4,2.14
2025-01-03 18:00:00,306.836,5.71,96.6,3.09
2025-01-03 19:00:00,274.385,4.91,100.0,1.9
2025-01-03 20:00:00,232.668,6.3,83.9,2.81
2025-01-03 21:00:00,224.567,3.84,100.0,3.28
2025-01-03 22:00:00,234.475,1.33,91.5,5.76
2025-01-03 23:00:00,232.524,0.84,100.0,6.61
2025-01-04 00:00:00,234.305,0.53,95.7,0.92
2025-01-04 01:00:00,237.247,2.32,100.0,6.06
2025-01-04 02:00:00,243.112,1.46,94.4,1.37
2025-01-04 03:00:00,228.944,2.23,90.4,2.83
2025-01-04 04:00:00,234.912,0.54,100.0,0.7
2025-01-04 05:00:00,230.883,1.78,98.4,0.4
2025-01-04 06:00:00,230.515,3.0,90.2,10.61
2025-01-04 07:00:00,226.643,2.13,100.0,2.88
2025-01-04 08:00:00,224.937,4.08,85.7,2.43
2025-01-04 09:00:00,236.732,3.07,92.9,3.56
2025-01-04 10:00:00,252.372,4.32,93.9,2.48
2025-01-04 11:00:00,247.749,5.01,100.0,5.08
2025-01-04 12:00:00,249.606,4.33,100.0,3.42
2025-01-04 13:00:00,257.792,7.5,99.5,4.54
2025-01-04 14:00:00,253.454,6.27,93.7,1.56
2025-01-04 15:00:00,242.728,7.15,78.8,0.8
2025-01-04 16:00:00,234.947,7.79,94.8,5.47
2025-01-04 17:00:00,217.545,7.44,100.0,3.67
2025-01-04 18:00:00,208.384,7.31,100.0,1.07
2025-01-04 19:00:00,208.895,5.47,98.5,1.09
2025-01-04 20:00:00,219.032,4.22,90.3,3.14
2025-01-04 21:00:00,223.483,4.0,94.7,4.3
2025-01-04 22:00:00,235.255,0.65,100.0,1.36
2025-01-04 23:00:00,240.911,0.31,94.5,7.56
2025-01-05 00:00:00,249.194,-0.13,96.7,4.68
2025-01-05 01:00:00,248.548,-0.09,100.0,5.73
2025-01-05 02:00:00,235.968,1.85,98.2,3.08
2025-01-05 03:00:00,236.917,-0.35,96.8,2.89
2025-01-05 04:00:00,233.732,0.6,100.0,0.99
2025-01-05 05:00:00,228.291,3.58,100.0,1.57
2025-01-05 06:00:00,225.728,1.41,99.1,2.63
2025-01-05 07:00:00,223.651,3.78,91.2,3.74
2025-01-05 08:00:00,224.888,1.83,100.0,3.28
2025-01-05 09:00:00,224.674,3.77,98.0,0.48
2025-01-05 10:00:00,234.972,3.36,100.0,1.3
2025-01-05 11:00:00,245.293,5.06,100.0,3.43
2025-01-05 12:00:00,248.677,7.57,89.7,3.8
2025-01-05 13:00:00,256.551,3.94,94.8,2.11
2025-01-05 14:00:00,241.127,7.7,100.0,4.41
2025-01-05 15:00:00,253.556,7.48,100.0,4.37
2025-01-05 16:00:00,251.176,6.05,83.7,10.15
2025-01-05 17:00:00,243.508,4.39,100.0,2.91
2025-01-05 18:00:00,227.702,6.34,93.8,2.05
2025-01-05 19:00:00,219.83,4.76,90.5,1.37
2025-01-05 20:00:00,213.851,5.25,97.6,0.87
2025-01-05 21:00:00,223.015,4.14,89.5,4.24
2025-01-05 22:00:00,220.719,5.89,92.4,3.93
2025-01-05 23:00:00,227.413,2.22,95.5,0.98
2025-01-06 00:00:00,239.046,0.32,99.9,4.26
2025-01-06 01:00:00,229.501,1.77,100.0,3.2
2025-01-06 02:00:00,230.144,1.54,95.2,2.29
2025-01-06 03:00:00,232.072,3.26,100.0,0.44
2025-01-06 04:00:00,233.155,2.52,100.0,3.9
2025-01-06 05:00:00,227.691,2.06,100.0,8.24
2025-01-06 06:00:00,218.773,4.3,96.4,1.52
2025-01-06 07:00:00,262.036,0.68,99.2,3.2
2025-01-06 08:00:00,294.028,2.28,100.0,4.12
2025-01-06 09:00:00,324.387,2.6,96.3,0.25
2025-01-06 10:00:00,349.827,4.24,96.4,1.32
2025-01-06 11:00:00,374.891,3.38,100.0,0.75
2025-01-06 12:00:00,382.408,7.22,85.9,8.21
2025-01-06 13:00:00,386.096,6.33,98.8,0.23
2025-01-06 14:00:00,399.047,4.63,100.0,2.28
2025-01-06 15:00:00,390.376,5.46,100.0,3.47
2025-01-06 16:00:00,367.679,7.48,98.3,1.51
2025-01-06 17:00:00,337.512,8.02,100.0,0.3
2025-01-06 18:00:00,303.896,9.4,89.6,2.36
2025-01-06 19:00:00,259.139,10.25,83.9,1.49
2025-01-06 20:00:00,234.083,5.52,100.0,3.74
2025-01-06 21:00:00,231.756,2.5,90.7,4.73
2025-01-06 22:00:00,232.939,-0.1,95.0,0.98
2025-01-06 23:00:00,226.466,3.01,100.0,1.62
2025-01-07 00:00:00,235.15,0.64,100.0,1.69
2025-01-07 01:00:00,239.904,0.8,100.0,4.69
2025-01-07 02:00:00,246.247,0.19,100.0,2.95
2025-01-07 03:00:00,237.682,0.84,90.2,1.02
2025-01-07 04:00:00,232.687,2.87,96.4,5.73
2025-01-07 05:00:00,230.981,1.72,89.7,1.51
2025-01-07 06:00:00,237.927,1.69,100.0,1.86
2025-01-07 07:00:00,263.118,0.91,92.8,1.25
